Código,Descripción,Código_de_Barras,Precio_de_Costo,Inventario
A5739,ADHESIVO J. FABER BARRA X40GR BARRA,7794360935739            ,822.79,1
A5944,ADHESIVO J. FABER BARRA X40GR BARRA X12UNID.,7794360935944            ,9654.66,1
A5722,ADHESIVO J. FABER X21GR.,7794360935722            ,639.62,1
A5951,ADHESIVO J. FABER X21GR. X12UNID.,7794360935951            ,10108.1,1
A7378,ADHESIVO PELIKAN BARRA X10GR X UNIDAD,40127378,868.78,1
A2794,ADHESIVO PELIKAN BARRA X10GR X12 UNIDAD,4012700222794,10216.8,1
A7385,ADHESIVO PELIKAN BARRA X20GR X1 UNIDAD,40127385,1762.97,1
A3170,ADHESIVO PELIKAN BARRA X20GR X24 UNIDAD,7501015203170,41465.1,1
A7392,ADHESIVO PELIKAN BARRA X40GR X1 UNIDAD,40127392,2770.9,1
A5784,ADHESIVO PELIKAN BARRA X40GR X12 UNIDAD,7501015215784,32585.8,1
A7497,ADHESIVO PELIKAN GLITTER BLISTER X9,7501015227497            ,1856.82,1
A5654,ADHESIVO PELIKAN SILICONA X100CC X1 UNIDAD,7501015215654,1934.19,1
A6360,ADHESIVO PELIKAN SILICONA X250CC X1 UNIDAD,7501015226360,4181.46,1
A0641,ADHESIVO PELIKAN SILICONA X30CC X1 UNIDAD,7501015220641            ,976.83,1
A2300,ADHESIVO PELIKAN SILICONA X30CC X6UNID.,7501015222300,5743.78,1
A2486,ADHESIVO PELIKAN X30ML SINTETICO,7792700002486            ,797.33,1
A2493,ADHESIVO PELIKAN X30ML SINTETICO X24UNID.,7792700002493            ,18753.2,1
A2479,ADHESIVO PELIKAN X50ML SINTETICO,7792700002479            ,887.78,1
A2509,ADHESIVO PELIKAN X50ML SINTETICO X24UNID.,7792700002509            ,20880.5,1
A4892,ADHESIVO PELIKAN X60ML C/GLITTER AZUL,7501015224892            ,1806.87,1
A4878,ADHESIVO PELIKAN X60ML C/GLITTER BLANCO,7501015224878            ,1806.87,1
A5035,ADHESIVO PELIKAN X60ML C/GLITTER COBRE,7501015225035            ,1806.87,1
A4671,ADHESIVO PELIKAN X60ML C/GLITTER EXIBIDOR X60UNID,7792700004671            ,122062,1
A4977,ADHESIVO PELIKAN X60ML C/GLITTER FUCCIA,7501015224977            ,1806.87,1
A4915,ADHESIVO PELIKAN X60ML C/GLITTER FUCSIA,7501015224915            ,1806.87,1
A4984,ADHESIVO PELIKAN X60ML C/GLITTER LILA,7501015224984            ,1806.87,1
A4946,ADHESIVO PELIKAN X60ML C/GLITTER MORADO,7501015224946            ,1806.87,1
A5042,ADHESIVO PELIKAN X60ML C/GLITTER MULTICOLOR,7501015225042            ,1806.87,1
A4960,ADHESIVO PELIKAN X60ML C/GLITTER NARANJA,7501015224960            ,1806.87,1
A5028,ADHESIVO PELIKAN X60ML C/GLITTER NEGRO,7501015225028            ,1806.87,1
A4885,ADHESIVO PELIKAN X60ML C/GLITTER ORO,7501015224885            ,1806.87,1
A4854,ADHESIVO PELIKAN X60ML C/GLITTER PLATA,7501015224854            ,1806.87,1
A4847,ADHESIVO PELIKAN X60ML C/GLITTER ROJO,7501015224847            ,1806.87,1
A5004,ADHESIVO PELIKAN X60ML C/GLITTER ROSA PASTEL,7501015225004            ,1806.87,1
A4991,ADHESIVO PELIKAN X60ML C/GLITTER TURQUESA,7501015224991            ,1806.87,1
A4861,ADHESIVO PELIKAN X60ML C/GLITTER VERDE,7501015224861            ,1806.87,1
A4939,ADHESIVO PELIKAN X60ML C/GLITTER VERDE LIMON,7501015224939            ,1806.87,1
A5103,ADHESIVO PELIKAN X60ML C/GLITTER X6UNID. AZUL,7501015225103            ,10624.4,1
